"","TYPEQU","lambert_x","lambert_y","DEPCOM"
"1516","D201",351819.47,6789433.97,35238
"1520","D201",352742.4,6788521.36,35238
"1522","D201",350206.67,6788478.79,35238
"1523","D201",352152.86,6787844.46,35238
"1528","D201",352150,6786650,35238
"1535","D201",352516.24,6788634.32,35238
"1546","D201",350050.49,6790526.93,35238
"1550","D201",353622.74,6787188.72,35238
"1554","D201",352329.05,6786534.23,35238
"1555","D201",351071.41,6789103.3,35238
"1556","D201",352238.49,6787871.31,35238
"1563","D201",351584.61,6786857.34,35238
"1564","D201",351528.31,6789514.79,35238
"1566","D201",349487.51,6788283.05,35238
"1567","D201",351830.19,6788672.9,35238
"1572","D201",353543.38,6789777.4,35238
"1573","D201",352032.34,6788922.33,35238
"1576","D201",351792.47,6788654.72,35238
"1580","D201",351422.89,6789469.93,35238
"1588","D201",351990.66,6788708.56,35238
"1589","D201",351659.82,6789533.96,35238
"1595","D201",354088.02,6788176.29,35238
"1596","D201",351031.14,6789464.16,35238
"1597","D201",352086.36,6789510.24,35238
"1599","D201",350350,6789050,35238
"1603","D201",352622.73,6788778.85,35238
"1606","D201",353267.75,6789321.97,35238
"1607","D201",351690.09,6789156.21,35238
"1616","D201",353239.35,6791203.92,35238
"1617","D201",353505.51,6787052.02,35238
"1622","D201",350830.56,6788670.32,35238
"1623","D201",352945.78,6790165.77,35238
"1626","D201",353622.74,6787188.72,35238
"1629","D201",352041.02,6789071.16,35238
"1633","D201",352147.84,6787087.51,35238
"1636","D201",351825.84,6790096.97,35238
"1637","D201",352552.99,6788739.81,35238
"1639","D201",351105.47,6789830.03,35238
"1643","D201",351185,6787830.43,35238
"1644","D201",352017.67,6789578,35238
"1653","D201",353384.58,6789125.9,35238
"1654","D201",353237.61,6786570.54,35238
"1658","D201",353800.64,6791949.83,35238
"1663","D201",349468.64,6790435.5,35238
"1667","D201",350158.37,6789047.05,35238
"1671","D201",352552.99,6788739.81,35238
"1672","D201",351584.61,6786857.34,35238
"1679","D201",351891.16,6788872.59,35238
"1680","D201",353223.14,6787249.44,35238
"1681","D201",353110.76,6790283.1,35238
"1683","D201",351310.53,6789168.06,35238
"1687","D201",351350.01,6787378.15,35238
"1693","D201",351584.79,6790888.82,35238
"1699","D201",352516.24,6788634.32,35238
"1704","D201",351031.14,6789464.16,35238
"1707","D201",351858.98,6789358.2,35238
"1712","D201",352079.22,6786795.59,35238
"1717","D201",352041.02,6789071.16,35238
"1720","D201",353421.24,6788001.61,35238
"1721","D201",353024.4,6790574.44,35238
"1725","D201",352361.03,6786212.69,35238
"1726","D201",351652.18,6789256.21,35238
"1727","D201",352930.05,6788539.01,35238
"1729","D201",353044.8,6789401.73,35238
"1730","D201",353031.65,6787068.88,35238
"1732","D201",351185,6787830.43,35238
"1738","D201",353398.4,6789113.79,35238
"1739","D201",352521.38,6789374.28,35238
"1740","D201",351745.68,6788929.39,35238
"1742","D201",353025.78,6792047.84,35238
"1743","D201",353294.99,6788228.49,35238
"1747","D201",353610.03,6787743.44,35238
"1749","D201",355393.65,6791230.8,35238
"1753","D201",352691.98,6787494.86,35238
"1755","D201",351350.01,6787378.15,35238
"1771","D201",352147.84,6787087.51,35238
"1774","D201",351990.66,6788708.56,35238
"1775","D201",351950,6789250,35238
"1778","D201",350665.46,6788947.23,35238
"1779","D201",353648.87,6791322.31,35238
"1780","D201",350911.18,6789545.81,35238
"1783","D201",351310.53,6789168.06,35238
"1784","D201",353141.8,6790914.91,35238
"1789","D201",351965.68,6789455.26,35238
"1793","D201",352914.84,6790147.79,35238
"1794","D201",349468.64,6790435.5,35238
"1797","D201",351792.47,6788654.72,35238
"1799","D201",353543.38,6789777.4,35238
"1801","D201",349574.54,6787986.54,35238
"1805","D201",354088.02,6788176.29,35238
"1808","D201",353141.8,6790914.91,35238
"1812","D201",351185,6787830.43,35238
"1813","D201",351744.05,6789361.13,35238
"1815","D201",352418.56,6787858.29,35238
"1816","D201",351388.75,6787496.65,35238
"1817","D201",355434.07,6790756.8,35238
"1822","D201",351659.82,6789533.96,35238
"1823","D201",354589.11,6787752.94,35238
"1824","D201",352754.97,6788726.31,35238
"1826","D201",351845.58,6789008.55,35238
"1827","D201",353031.65,6787068.88,35238
"1830","D201",353505.51,6787052.02,35238
"1835","D201",353113.44,6787221.36,35238
"1836","D201",350067.49,6790828.09,35238
"1839","D201",353554.66,6790619.99,35238
"1842","D201",352996.22,6787893.85,35238
"1847","D201",350665.46,6788947.23,35238
"1849","D201",351523.1,6790461.44,35238
"1850","D201",353610.03,6787743.44,35238
"1851","D201",351866.11,6789524.03,35238
"1853","D201",352147.84,6787087.51,35238
"1855","D201",353141.8,6790914.91,35238
"1863","D201",350218.28,6789534.3,35238
"1866","D201",352996.85,6787359.71,35238
"1867","D201",351413.31,6789034.06,35238
"1870","D201",349487.51,6788283.05,35238
"1874","D201",351679.23,6789543.79,35238
"1878","D201",354396.86,6786740.46,35238
"1881","D201",351858.98,6789358.2,35238
"1888","D201",351350.01,6787378.15,35238
"1891","D201",351584.61,6786857.34,35238
"1901","D201",350976.33,6788684.12,35238
"1905","D201",353122.55,6789129.03,35238
"1909","D201",355393.65,6791230.8,35238
"1912","D201",355393.65,6791230.8,35238
"1913","D201",350499.85,6786368.53,35238
"1914","D201",351776.39,6786095.29,35238
"1920","D201",352200.8,6789232.49,35238
"1922","D201",350845.43,6787026.01,35238
"1926","D201",351584.61,6786857.34,35238
"1930","D201",351417.13,6789621.38,35238
"1934","D201",353610.03,6787743.44,35238
"1935","D201",351798.29,6788748.36,35238
"1942","D201",354896.32,6786988.21,35238
"1946","D201",352668.06,6787043.86,35238
"1947","D201",353895.48,6787499.03,35238
"1951","D201",353505.51,6787052.02,35238
"1954","D201",354075.74,6786607.31,35238
"1956","D201",351381.73,6789186.96,35238
"1957","D201",351601.26,6789392.03,35238
"1962","D201",351787.02,6789250.11,35238
"1964","D201",354396.86,6786740.46,35238
"1965","D201",352148.94,6789085.77,35238
"1968","D201",351523.1,6790461.44,35238
"1969","D201",353505.51,6787052.02,35238
"1978","D201",352742.4,6788521.36,35238
"1979","D201",353832.34,6787388.62,35238
"1986","D201",354396.86,6786740.46,35238
"1990","D201",350895.9,6789522.95,35238
"1994","D201",352079.22,6786795.59,35238
"1997","D201",353543.38,6789777.4,35238
"1999","D201",354396.86,6786740.46,35238
"2002","D201",353030.13,6786610.71,35238
"2004","D201",353398.4,6789113.79,35238
"2006","D201",353648.87,6791322.31,35238
"2009","D201",351976.77,6789579.09,35238
"2012","D201",352996.22,6787893.85,35238
"2013","D201",353554.66,6790619.99,35238
"2015","D201",353141.8,6790914.91,35238
"2021","D201",352811.25,6786387.15,35238
"2023","D201",352811.25,6786387.15,35238
"2024","D201",353660.22,6792105.34,35238
"2025","D201",350425.97,6791436,35238
"2027","D201",351388.75,6787496.65,35238
"2045","D201",351417.13,6789621.38,35238
"2052","D201",351528.31,6789514.79,35238
"2053","D201",351659.82,6789533.96,35238
"2055","D201",353648.87,6791322.31,35238
"2068","D201",352079.22,6786795.59,35238
"2069","D201",351388.75,6787496.65,35238
"2080","D201",351388.75,6787496.65,35238
"2082","D201",351668.5,6789157.39,35238
"2092","D201",352069.81,6789912.54,35238
"2097","D201",353726.86,6792235.99,35238
"2100","D201",351388.75,6787496.65,35238
"2105","D201",352238.37,6789408.07,35238
"2107","D201",351790.84,6788669.47,35238
"2114","D201",351350.01,6787378.15,35238
"2121","D201",352147.84,6787087.51,35238
"2123","D201",352152.86,6787844.46,35238
"2125","D201",351388.75,6787496.65,35238
"2133","D201",352219.9,6789174.95,35238
"2140","D201",351969.58,6789711.8,35238
"2153","B302",351872.59,6789369.08,35238
"2187","B302",351850,6789450,35238
"2188","B302",351850,6789450,35238
"2189","B302",351840.83,6788585.12,35238
"2190","B302",351830.68,6788542.48,35238
"2191","B302",352055.12,6789345.35,35238
"2192","B302",352109.88,6789361.65,35238
"2193","B302",351995.73,6789728.58,35238
"2194","B302",352036.6,6788621,35238
"2195","B302",352027.44,6788681.28,35238
"2196","B302",353650,6790650,35238
"2197","B302",351880.45,6789287.07,35238
"2198","B302",351880.69,6789317.05,35238
"2199","B302",351880.81,6789332.04,35238
"2200","B302",351774.76,6789432.59,35238
"2201","B302",352092.03,6789582.64,35238
"2202","B302",351811.33,6789302.13,35238
"2203","B302",351811.25,6789322.36,35238
"2204","B302",351241.13,6787897.18,35238
"2205","B302",351890.68,6789220.78,35238
"2206","B302",351543,6786102.94,35238
"2207","B302",351660.17,6786105.28,35238
"2208","B302",351730.33,6789302.79,35238
"2209","B302",351693.47,6789294.84,35238
"2210","B302",351858.98,6789358.2,35238
"2211","B302",352060.01,6789335.82,35238
"2212","B302",351906.1,6789441.76,35238
"2213","B302",351958.09,6789617.46,35238
"2214","B302",352010,6789422.92,35238
"2215","B302",351930.5,6789604.2,35238
"2216","B302",351810.38,6789457.28,35238
"2217","B302",351813.96,6789528.7,35238
"2218","B302",352242.07,6789364.56,35238
"2219","B302",351820.69,6789606.84,35238
"2220","B302",354907.79,6791067.63,35238
"2264","D301",351365.11,6787467.21,35238
"2265","D301",351321.12,6789213.69,35238
"2266","D301",353702.21,6791351.04,35238
"2267","D301",351974.48,6789704.52,35238
"2268","D301",352161.89,6787775.46,35238
"2269","D301",351185,6787830.43,35238
"2270","D301",351104.5,6788685.07,35238
"2271","D301",352684.62,6786505.35,35238
"2272","D301",352069.02,6789283.28,35238
"2285","D201",352164.99,6786532.07,35238
"2286","D201",353648.87,6791322.31,35238
"2288","D201",353830.24,6787847.33,35238
"2292","D201",350219.24,6788222.61,35238
"2306","D201",353830.24,6787847.33,35238
"2307","D201",350219.24,6788222.61,35238
"2311","D201",350425.97,6791436,35238
"2313","D201",353830.24,6787847.33,35238
"2314","D201",352219.9,6789174.95,35238
"2318","D201",351584.61,6786857.34,35238
"2320","D201",349967.03,6790533.61,35238
"2335","D201",350158.37,6789047.05,35238
"2338","D201",348338.49,6789048.17,35238
"2349","B302",351586.41,6786875.56,35238
"2350","B302",351582.77,6786838.87,35238
"2351","B302",351543.92,6786114.93,35238
"2352","B302",351543,6786102.94,35238
"2353","B302",352038.8,6786441.41,35238
"2354","B302",351543.92,6786114.93,35238
"2355","B302",351660.17,6786105.24,35238
"2356","B302",351660.17,6786105.49,35238
"2357","B302",351543,6786102.94,35238
"2358","B302",351660.17,6786105.49,35238
"2359","B302",351776.39,6786095.29,35238
"2360","B302",351776.39,6786095.29,35238
"2361","B302",351776.39,6786095.29,35238
"2362","B302",351776.39,6786095.29,35238
"2363","B302",351776.39,6786095.29,35238
"2364","B302",351776.39,6786095.29,35238
"2365","B302",351776.39,6786095.29,35238
"2366","B302",351866.11,6789524.03,35238
"2402","B302",351595.92,6786850,35238
"2403","B302",352344.58,6789108.9,35238
"2404","B302",351891.16,6788872.59,35238
"2405","B302",351859.32,6788580.47,35238
"2406","B302",351859.32,6788580.47,35238
"2407","B302",351830.68,6788542.48,35238
"2408","B302",352028.73,6789383.04,35238
"2409","B302",351893.82,6789379.65,35238
"2410","B302",351895.2,6789407.62,35238
"2411","B302",351950.01,6789192.67,35238
"2412","B302",351811.02,6789393.32,35238
"2413","B302",351810.84,6789425.55,35238
"2414","B302",351880.94,6789347.03,35238
"2415","B302",351789.39,6789445.46,35238
"2416","B302",351814.3,6789566.17,35238
"2417","B302",351890.09,6789202.8,35238
"2418","B302",351891.27,6789238.77,35238
"2419","B302",351891.85,6789256.75,35238
"2420","B302",351248.7,6791650.37,35238
"2421","B302",351543.92,6786114.93,35238
"2422","B302",351776.39,6786095.29,35238
"2423","B302",351776.39,6786095.29,35238
"2424","B302",352033.51,6788939.31,35238
"2425","B302",352032.34,6788922.33,35238
"2426","B302",353774.22,6791357.2,35238
"2427","B302",354239.89,6789664.79,35238
"2428","B302",352424.85,6789035.55,35238
"2429","B302",351954.56,6789474.59,35238
"2430","B302",351866.11,6789524.03,35238
"2431","B302",351834.79,6789547.02,35238
"2432","B302",351890.81,6789006.43,35238
"2480","D301",353646.77,6787756.14,35238
"2481","D301",351613.28,6789062.16,35238
"2482","D301",351909.62,6788589.81,35238
"2483","D301",352027.82,6789368.06,35238
"2484","D301",352951.64,6789146.67,35238
"2485","D301",351770.89,6789282.97,35238
"2486","D301",351862.72,6790111.65,35238
"2494","D201",351686.16,6788678.07,35238
"2497","D201",349957.33,6790787.02,35238
"2500","D201",349487.51,6788283.05,35238
"2501","D201",353239.35,6791203.92,35238
"2503","D201",349854.22,6790333.42,35238
"2511","D201",353855.64,6792013.78,35238
"2516","D201",351788.85,6788429.65,35238
"2517","D201",353025.78,6792047.84,35238
"2519","D201",353648.87,6791322.31,35238
"2522","D201",351300.66,6790156.21,35238
"2523","D201",351300.66,6790156.21,35238
"2524","D201",349854.22,6790333.42,35238
"2525","D201",351686.16,6788678.07,35238
"2526","D201",351551.59,6788864.29,35238
"2528","D201",351686.16,6788678.07,35238
"2532","D201",350684.21,6788698.04,35238
"2533","D201",351551.59,6788864.29,35238
"2537","D201",350607.26,6786550.03,35238
"2543","D201",350607.26,6786550.03,35238
"2546","D201",349854.22,6790333.42,35238
"2547","D201",351686.16,6788678.07,35238
"2555","D201",353660.22,6792105.34,35238
"2556","D201",351388.75,6787496.65,35238
"2559","D201",351300.66,6790156.21,35238
"2562","D201",351300.66,6790156.21,35238
"2569","D201",351300.66,6790156.21,35238
"2572","D201",353239.35,6791203.92,35238
"2579","D201",351523.1,6790461.44,35238
"2583","D201",350425.97,6791436,35238
"2588","D201",350087.01,6790535.88,35238
"2589","D201",352079.22,6786795.59,35238
"2593","D201",351388.75,6787496.65,35238
"2594","D201",352811.25,6786387.15,35238
"2603","D201",353239.35,6791203.92,35238
"2612","D201",349628.44,6788374.34,35238
"2616","D201",352650.34,6788752.9,35238
"2623","D201",352650.34,6788752.9,35238
"2631","D201",350813.15,6791883.89,35238
"2632","D201",351835.39,6788812.76,35238
"2636","D201",351835.39,6788812.76,35238
"2641","D201",349487.51,6788283.05,35238
"2642","D201",351401.98,6789080.12,35238
"2645","D201",350008.95,6789143.96,35238
"2650","D201",349468.64,6790435.5,35238
"2653","D201",349628.44,6788374.34,35238
"2655","D201",349536.69,6790580.09,35238
"2656","D201",353763.81,6789589.84,35238
"2658","D201",352329.05,6786534.23,35238
"2672","D201",351388.75,6787496.65,35238
"2680","D201",355393.65,6791230.8,35238
"2681","D201",349468.64,6790435.5,35238
"2686","D201",351990.66,6788708.56,35238
"2687","D201",351858.98,6789358.2,35238
"2695","D201",351388.75,6787496.65,35238
"2696","D201",351648.47,6789030.64,35238
"2698","D201",352650.34,6788752.9,35238
"2701","D201",353543.38,6789777.4,35238
"2711","D201",349854.22,6790333.42,35238
"2722","B302",352027.44,6788681.28,35238
"2760","B302",351737.55,6789199.8,35238
"2761","B302",351895.92,6789421.6,35238
"2762","B302",351894.53,6789393.63,35238
"2763","B302",352042.04,6789893.29,35238
"2764","B302",352034.29,6788858.36,35238
"2765","B302",352033.6,6788842.62,35238
"2766","B302",352027.44,6788681.28,35238
"2767","B302",352036.6,6788621,35238
"2768","B302",351902.45,6789369.84,35238
"2769","B302",351543.92,6786114.93,35238
"2770","B302",351776.39,6786095.29,35238
"2771","B302",351921.75,6789265.75,35238
"2772","B302",350777.04,6789410.5,35238
"2773","B302",352064.82,6789224.36,35238
"2774","B302",351917.8,6789428.67,35238
"2775","B302",352986.45,6790496.72,35238
"2776","B302",351953.91,6789460.6,35238
"2777","B302",351827.87,6789556.57,35238
"2778","B302",355280.96,6786860.4,35238
"2779","B302",351971.63,6789645.83,35238
"2780","B302",351997.77,6789423.52,35238
"2781","B302",352010,6789422.92,35238
"2782","B302",351941.72,6789593.11,35238
"2783","B302",352110.87,6788999.82,35238
"2784","B302",352253.72,6789418.93,35238
